login_id,user_id,login_date,messages_sent,replies
13118,1329,2022-1-16,4,0
71282,1566,2022-1-5,5,2
11840,1375,2022-3-3,1,1
12767,1469,2022-5-6,4,1
82162,1078,2022-6-23,3,3
39651,1822,2022-2-10,5,5
53998,1727,2022-2-19,2,1
08292,1472,2022-3-6,3,2
87265,1104,2022-5-11,3,2
98293,1979,2022-6-10,1,0
27897,1508,2022-2-11,3,3
30844,1653,2022-6-11,5,3
27702,1775,2022-2-3,2,2
52982,1573,2022-3-18,5,4
98864,1525,2022-4-17,4,2
68364,1652,2022-5-18,5,4
32683,1885,2022-2-25,1,0
87527,1508,2022-6-8,5,1
90921,1567,2022-3-10,2,0
75116,1371,2022-1-23,1,1
18873,1216,2022-6-10,2,0
34313,1297,2022-5-12,1,0
82577,1834,2022-5-23,5,1
04610,1380,2022-4-27,5,3
15002,1368,2022-6-16,1,1
05122,1470,2022-1-1,4,2
94928,1866,2022-2-23,4,2
75052,1847,2022-1-3,2,1
01865,1430,2022-2-11,3,0
34710,1934,2022-2-13,5,3
12909,1436,2022-4-19,3,3
67508,1988,2022-2-24,3,3
30080,1548,2022-4-2,1,1
93287,1074,2022-4-23,1,1
73522,1988,2022-5-3,4,3
14000,1729,2022-4-25,1,0
13867,1524,2022-5-9,1,1
76476,1099,2022-2-28,3,3
89340,1617,2022-4-18,3,1
30112,1700,2022-4-17,3,0
59575,1611,2022-3-21,1,1
53104,1720,2022-5-5,2,1
21847,1619,2022-3-11,4,2
23234,1155,2022-1-9,5,4
89958,1183,2022-4-1,1,0
15651,1774,2022-5-1,4,1
82400,1280,2022-3-8,5,5
26924,1121,2022-6-27,2,0
31504,1806,2022-2-21,1,1
03250,1427,2022-3-1,3,0
40999,1256,2022-3-22,3,1
08370,1572,2022-4-15,2,1
94435,1002,2022-1-23,4,0
50445,1402,2022-3-13,2,1
33105,1455,2022-3-11,4,3
61843,1033,2022-1-4,5,5
43827,1675,2022-1-4,2,1
00689,1392,2022-5-23,2,1
72295,1341,2022-4-1,1,0
57870,1041,2022-1-25,2,1
39894,1820,2022-2-6,4,1
26617,1977,2022-4-19,1,1
58278,1059,2022-6-26,3,0
37075,1876,2022-5-2,2,0
47480,1375,2022-6-17,1,0
49168,1241,2022-6-21,1,1
69241,1707,2022-1-23,3,3
81592,1237,2022-3-27,3,2
46505,1087,2022-1-2,5,0
66644,1968,2022-1-25,5,1
81327,1256,2022-5-1,3,1
71838,1524,2022-3-1,3,2
03175,1298,2022-6-26,2,1
77670,1925,2022-1-19,5,2
95036,1288,2022-1-28,5,3
15044,1666,2022-6-1,2,0
99607,1580,2022-6-28,4,0
86156,1587,2022-2-28,5,0
69453,1867,2022-3-10,1,0
57057,1735,2022-6-2,3,1
68810,1070,2022-1-11,2,0
89030,1264,2022-6-9,5,1
03204,1085,2022-3-2,4,3
59059,1254,2022-6-18,2,1
06854,1385,2022-3-20,4,1
22206,1352,2022-2-28,4,0
86659,1012,2022-1-12,2,0
77560,1313,2022-6-13,2,2
78235,1715,2022-1-20,2,0
44009,1000,2022-2-11,1,1
48790,1695,2022-6-9,4,3
46075,1228,2022-4-22,1,0
90499,1958,2022-5-16,1,1
58345,1016,2022-5-17,3,2
29340,1888,2022-4-13,4,1
76117,1180,2022-6-2,1,1
30374,1955,2022-2-13,3,1
36131,1276,2022-4-15,5,3
66089,1380,2022-3-27,1,1
31063,1805,2022-6-9,5,0
65095,1334,2022-5-19,1,1
95095,1196,2022-5-28,1,1
61508,1012,2022-3-7,4,0
11148,1440,2022-2-5,5,2
61407,1196,2022-3-17,5,5
63024,1052,2022-1-3,5,3
51605,1535,2022-6-6,3,2
65941,1725,2022-6-27,4,2
28356,1554,2022-4-12,5,4
70787,1881,2022-3-14,2,0
49719,1158,2022-6-7,1,1
19915,1188,2022-4-1,3,0
85762,1443,2022-6-15,4,3
38149,1797,2022-5-27,3,1
63647,1147,2022-2-27,2,0
55490,1894,2022-2-5,1,0
65666,1266,2022-5-6,2,1
54501,1067,2022-1-4,3,0
18789,1727,2022-1-10,4,4
45896,1957,2022-2-28,2,2
70477,1505,2022-4-10,5,5
12677,1613,2022-4-25,1,0
19138,1625,2022-2-23,1,0
39712,1447,2022-1-8,1,1
11170,1128,2022-5-12,3,2
69749,1251,2022-4-17,2,0
58658,1285,2022-5-9,1,1
54398,1423,2022-2-18,1,0
44087,1624,2022-1-7,5,0
24769,1550,2022-3-25,3,3
96332,1701,2022-5-6,2,2
42917,1010,2022-5-15,1,1
38322,1990,2022-4-26,2,2
32812,1368,2022-3-20,3,3
78564,1380,2022-4-3,3,0
00867,1775,2022-4-18,3,1
97120,1327,2022-6-3,3,2
32654,1952,2022-1-14,3,1
27798,1188,2022-6-7,1,0
19509,1456,2022-2-9,1,1
08507,1671,2022-5-18,2,0
46261,1631,2022-1-14,1,1
27339,1338,2022-3-14,2,1
26671,1476,2022-6-26,5,5
06052,1260,2022-3-1,3,3
01522,1755,2022-3-3,4,4
31144,1869,2022-6-25,1,1
63816,1028,2022-3-24,3,3
59638,1844,2022-2-16,4,1
07837,1564,2022-6-16,5,0
11407,1225,2022-4-25,1,0
53982,1663,2022-3-21,2,2
28609,1448,2022-6-19,4,0
80229,1520,2022-5-4,5,2
14951,1046,2022-4-25,1,1
78679,1027,2022-6-13,1,0
71774,1473,2022-3-9,5,5
04294,1919,2022-2-5,5,2
08887,1596,2022-1-18,5,1
19905,1240,2022-4-10,5,3
64928,1918,2022-5-26,1,1
23765,1265,2022-1-14,3,2
23053,1689,2022-6-1,5,1
58049,1605,2022-5-19,3,1
91647,1948,2022-1-1,2,1
95391,1699,2022-5-21,4,3
72272,1317,2022-1-24,1,0
68746,1956,2022-2-28,3,0
70149,1691,2022-3-13,2,1
32513,1066,2022-4-26,4,0
13942,1412,2022-3-6,3,1
77109,1421,2022-1-4,5,0
73641,1960,2022-5-6,2,0
04763,1638,2022-6-7,5,5
28025,1552,2022-2-9,1,1
16948,1551,2022-6-11,4,0
76999,1046,2022-6-1,4,0
61773,1568,2022-3-2,2,2
57029,1365,2022-6-4,2,2
94001,1986,2022-2-17,3,1
74881,1720,2022-1-20,3,0
53995,1991,2022-3-28,1,0
02847,1979,2022-2-27,4,1
08004,1757,2022-5-14,4,0
16541,1921,2022-1-15,3,1
14831,1945,2022-6-22,4,2
23196,1626,2022-2-2,5,0
25383,1999,2022-1-20,4,1
92534,1226,2022-4-16,5,3
24969,1861,2022-3-17,4,1
93040,1334,2022-5-12,1,0
11385,1655,2022-4-22,5,4
92034,1162,2022-1-11,1,1
78935,1909,2022-1-24,3,2
06155,1197,2022-3-15,5,2
57828,1503,2022-5-11,5,1
60832,1492,2022-3-2,4,4
77497,1889,2022-2-5,5,3
59510,1286,2022-1-17,2,2
89095,1844,2022-3-21,2,0
85907,1193,2022-2-27,5,2
05516,1396,2022-4-12,5,4
73176,1969,2022-5-15,1,0
01288,1450,2022-4-2,5,3
57882,1684,2022-4-10,3,0
42992,1312,2022-4-18,5,1
08786,1128,2022-1-7,2,2
07811,1682,2022-5-25,3,3
52524,1393,2022-5-23,3,1
87812,1407,2022-3-4,5,4
90668,1816,2022-1-18,2,2
94364,1570,2022-1-8,2,1
12731,1138,2022-4-3,5,5
90367,1234,2022-6-14,5,1
13946,1426,2022-4-26,5,3
34374,1619,2022-2-4,1,0
71970,1617,2022-5-18,1,0
58666,1075,2022-6-18,2,2
40325,1252,2022-2-21,3,1
11822,1787,2022-6-4,1,0
11054,1214,2022-1-26,4,1
36024,1111,2022-4-10,5,4
77564,1223,2022-6-17,5,4
95965,1389,2022-5-26,4,4
25085,1542,2022-2-26,4,1
14301,1449,2022-4-15,4,1
94501,1385,2022-2-9,3,0
25177,1396,2022-1-9,1,0
50795,1563,2022-4-22,2,2
15182,1003,2022-2-4,4,3
62563,1574,2022-6-2,3,0
02666,1580,2022-4-11,5,2
33505,1317,2022-1-6,2,1
53900,1517,2022-4-20,1,1
34190,1944,2022-1-11,1,0
63201,1019,2022-3-14,2,1
54859,1295,2022-2-7,4,0
11673,1311,2022-1-11,4,1
01137,1761,2022-5-24,3,3
88285,1658,2022-1-19,5,0
48411,1499,2022-2-2,4,1
75845,1282,2022-3-9,1,1
55764,1921,2022-1-9,1,0
82189,1099,2022-5-20,1,0
29516,1641,2022-4-20,2,0
61294,1403,2022-5-3,1,1
32934,1403,2022-1-4,3,3
28087,1854,2022-1-17,1,1
28541,1164,2022-1-22,5,0
11853,1839,2022-2-5,4,1
03534,1890,2022-2-2,4,4
02923,1954,2022-2-21,3,1
66154,1541,2022-5-1,2,0
25002,1080,2022-3-10,3,3
61414,1476,2022-4-12,3,1
50125,1686,2022-2-12,3,0
25736,1961,2022-2-12,1,1
92804,1230,2022-5-22,2,1
52618,1463,2022-5-4,3,0
40411,1193,2022-2-25,1,0
67676,1240,2022-2-8,3,0
35233,1217,2022-5-22,2,1
98081,1158,2022-6-15,2,1
58990,1066,2022-3-4,5,0
51168,1276,2022-1-16,2,2
99634,1953,2022-3-5,2,1
71321,1506,2022-5-20,5,4
19774,1101,2022-2-15,1,1
86430,1492,2022-5-20,4,2
43968,1562,2022-6-20,2,1
86894,1186,2022-6-5,2,0
37788,1518,2022-1-19,1,0
35284,1330,2022-1-28,5,1
84738,1132,2022-2-20,2,1
81643,1281,2022-3-23,2,2
76626,1968,2022-1-1,1,1
84607,1053,2022-1-18,3,2
84726,1664,2022-5-20,4,1
44880,1478,2022-1-26,2,1
23435,1968,2022-3-16,4,0
75425,1119,2022-6-8,2,1
94837,1525,2022-6-8,1,0
29530,1123,2022-2-16,3,3
24252,1664,2022-6-9,2,1
67239,1234,2022-1-18,2,0
58417,1110,2022-4-27,1,0
44676,1380,2022-1-27,4,2
99681,1863,2022-1-5,1,1
10226,1356,2022-4-5,5,4
88663,1496,2022-5-14,1,1
61625,1463,2022-2-10,2,0
10870,1904,2022-3-22,5,4
57816,1301,2022-5-27,1,1
89012,1278,2022-2-20,5,0
17905,1940,2022-1-27,5,0
05616,1667,2022-5-13,5,1
13571,1706,2022-1-18,4,1
85866,1674,2022-5-20,4,0
39127,1933,2022-4-20,1,1
66352,1085,2022-2-26,5,0
71758,1549,2022-4-21,2,0
04862,1589,2022-4-27,3,1
97381,1614,2022-2-20,1,0
94360,1565,2022-5-17,4,0
58199,1941,2022-5-20,3,2
47042,1015,2022-6-26,5,0
54752,1135,2022-2-3,4,1
49275,1172,2022-1-1,4,3
96239,1053,2022-3-15,5,2
41781,1649,2022-5-24,5,3
71721,1629,2022-6-6,5,3
99143,1468,2022-1-13,4,2
33176,1530,2022-6-1,5,2
46475,1873,2022-6-25,5,1
70989,1801,2022-5-20,2,0
46648,1798,2022-4-20,4,3
10871,1245,2022-5-24,2,1
18679,1855,2022-6-5,1,0
09303,1098,2022-5-23,4,3
39203,1957,2022-5-28,4,3
87349,1816,2022-3-10,1,0
27808,1439,2022-6-10,3,2
55537,1677,2022-6-18,4,0
97894,1638,2022-4-18,4,1
02920,1558,2022-6-16,4,3
32275,1684,2022-5-14,4,4
20816,1433,2022-3-25,3,0
07380,1894,2022-4-26,3,2
50369,1444,2022-1-28,1,1
37918,1003,2022-2-27,4,1
06864,1183,2022-2-16,4,1
41280,1820,2022-1-9,4,0
84969,1359,2022-6-23,1,0
67528,1075,2022-3-10,1,0
34644,1738,2022-1-9,1,1
54832,1060,2022-1-21,3,2
60929,1342,2022-2-17,2,2
40178,1325,2022-4-7,4,0
04851,1369,2022-3-24,5,2
73096,1637,2022-1-22,1,0
32696,1788,2022-1-27,4,4
08668,1915,2022-3-5,3,3
32688,1023,2022-5-16,1,0
89998,1394,2022-1-22,1,1
60443,1890,2022-1-5,4,4
83795,1460,2022-2-1,1,0
10437,1647,2022-1-9,5,4
51183,1918,2022-6-9,4,4
97682,1604,2022-3-19,3,0
80818,1875,2022-6-24,4,4
59687,1086,2022-6-20,4,2
37327,1065,2022-5-9,2,1
69120,1484,2022-5-17,4,4
69654,1706,2022-2-19,2,2
87475,1714,2022-2-12,1,1
18053,1857,2022-2-20,4,3
61356,1924,2022-3-2,4,1
58127,1431,2022-4-4,1,1
80869,1315,2022-6-26,4,0
81543,1532,2022-3-17,5,0
22362,1265,2022-4-2,3,1
45694,1079,2022-3-20,4,1
64725,1848,2022-5-16,2,1
56417,1569,2022-6-17,3,0
12704,1028,2022-1-27,2,1
74987,1039,2022-5-4,5,5
05265,1449,2022-4-13,2,1
29577,1636,2022-4-4,3,1
84613,1510,2022-4-22,2,1
88628,1529,2022-4-26,5,4
40495,1115,2022-4-25,4,0
49843,1677,2022-1-25,2,2
09363,1456,2022-6-26,2,0
93202,1458,2022-4-26,1,1
71640,1674,2022-5-19,2,0
67472,1235,2022-2-4,1,1
25541,1897,2022-2-1,2,0
82571,1493,2022-6-4,1,0
08063,1400,2022-3-5,1,0
14736,1565,2022-4-9,2,0
89434,1302,2022-1-18,3,0
99660,1268,2022-4-6,3,0
29654,1019,2022-6-28,4,4
77903,1753,2022-5-1,3,1
02474,1267,2022-3-3,3,1
27498,1791,2022-6-20,5,5
23187,1924,2022-1-7,4,4
45933,1315,2022-2-21,4,2
23992,1753,2022-2-6,4,4
67697,1991,2022-3-25,5,1
99759,1651,2022-1-5,2,0
90877,1818,2022-1-9,3,1
56099,1448,2022-3-21,2,1
12217,1469,2022-5-2,1,1
23421,1769,2022-1-3,1,1
79632,1325,2022-1-1,3,3
08262,1509,2022-2-22,1,0
97839,1040,2022-5-27,1,1
70861,1528,2022-6-8,2,2
75222,1710,2022-6-1,2,0
97100,1973,2022-6-5,1,1
71220,1804,2022-6-28,3,1
07966,1135,2022-2-1,2,0
82331,1215,2022-3-10,5,3
60058,1665,2022-2-23,3,2
96956,1842,2022-4-21,5,5
61661,1834,2022-6-27,2,1
57566,1468,2022-5-20,2,0
29746,1118,2022-5-5,3,3
15806,1044,2022-5-22,1,0
10073,1837,2022-5-26,4,0
49418,1915,2022-5-26,4,1
19924,1560,2022-2-17,2,2
31531,1392,2022-6-26,3,1
45391,1802,2022-5-13,4,2
41275,1265,2022-4-11,4,3
89751,1270,2022-4-1,3,3
18234,1090,2022-5-3,5,5
74830,1047,2022-3-6,2,2
91233,1592,2022-6-21,2,0
46535,1549,2022-4-10,4,1
56690,1004,2022-2-22,5,2
51370,1148,2022-1-28,3,1
49453,1202,2022-1-28,5,2
14941,1854,2022-5-19,4,4
24151,1715,2022-4-9,4,0
69566,1051,2022-2-15,3,3
64362,1545,2022-5-16,1,0
40887,1054,2022-3-12,5,5
27755,1317,2022-3-11,1,0
89775,1213,2022-1-3,1,1
26888,1134,2022-1-16,5,3
53191,1097,2022-2-12,4,4
85219,1472,2022-1-1,4,3
08705,1154,2022-5-2,4,1
77963,1031,2022-2-6,4,3
08127,1335,2022-6-17,4,0
71629,1544,2022-6-2,2,1
87182,1496,2022-4-21,4,0
09143,1428,2022-4-23,4,1
55308,1941,2022-5-13,1,1
98051,1767,2022-2-15,1,0
95411,1538,2022-1-19,4,3
09760,1760,2022-4-4,3,0
23579,1134,2022-6-20,4,1
29020,1005,2022-2-25,2,1
59901,1364,2022-3-2,4,3
21042,1907,2022-4-20,2,0
56802,1952,2022-2-4,3,1
69020,1120,2022-6-11,1,0
62010,1200,2022-6-22,2,2
46370,1475,2022-2-7,3,3
84987,1239,2022-1-1,1,1
91437,1480,2022-3-14,4,1
25438,1012,2022-4-28,4,0
89055,1398,2022-6-16,3,1
77318,1507,2022-6-15,1,0
39103,1656,2022-2-25,1,1
27626,1614,2022-6-8,5,5
70523,1948,2022-3-8,3,1
24201,1647,2022-3-24,1,0
67326,1498,2022-6-1,2,2
56798,1687,2022-5-8,3,2
57018,1288,2022-4-10,2,1
63280,1878,2022-5-11,4,1
59411,1499,2022-3-10,2,0
37919,1441,2022-6-15,5,2
67925,1147,2022-3-21,5,1
35586,1870,2022-1-19,5,0
85948,1253,2022-4-3,5,4
94239,1984,2022-3-6,2,1
53067,1095,2022-2-5,2,1
91860,1217,2022-3-11,2,2
29436,1810,2022-3-13,1,0
18626,1254,2022-6-20,2,2
69845,1258,2022-2-20,2,0
39223,1027,2022-1-9,5,3
73257,1156,2022-6-1,4,4
96724,1295,2022-4-5,3,2
50802,1370,2022-6-19,4,1
88630,1434,2022-1-14,5,1
28367,1736,2022-6-20,1,0
94518,1624,2022-2-19,3,0
88459,1729,2022-1-14,3,2
44415,1589,2022-5-10,1,0
46194,1476,2022-3-21,5,0
22845,1667,2022-4-25,5,4
98055,1719,2022-1-22,3,2
54654,1669,2022-5-15,5,0
81637,1832,2022-2-13,3,0
59369,1344,2022-6-4,3,1
35823,1854,2022-6-11,2,2
81978,1718,2022-4-24,1,0
95249,1681,2022-2-19,5,0
67778,1728,2022-4-22,2,1
00804,1559,2022-5-25,5,5
49130,1355,2022-3-26,1,1
96506,1731,2022-6-17,5,0
98612,1486,2022-2-10,3,3
15759,1168,2022-2-6,1,1
79389,1973,2022-1-14,2,1
80849,1274,2022-4-2,3,0
24533,1582,2022-3-2,3,1
65564,1156,2022-3-2,2,2
45174,1107,2022-1-15,3,0
74595,1336,2022-1-8,4,3
20878,1382,2022-2-17,3,0
38405,1535,2022-5-23,2,0
56640,1500,2022-4-24,3,0
24716,1598,2022-4-5,3,0
12227,1546,2022-2-20,2,2
15024,1726,2022-2-12,1,1
81677,1368,2022-4-1,2,1
84877,1816,2022-5-25,4,0
16922,1112,2022-6-26,4,4
13451,1212,2022-3-3,4,4
35108,1831,2022-6-11,5,4
18253,1071,2022-5-20,1,1
00988,1281,2022-2-14,5,0
55734,1116,2022-2-3,2,1
94294,1182,2022-5-12,1,0
86220,1022,2022-6-17,3,0
97053,1327,2022-6-6,3,2
94457,1954,2022-2-13,3,0
42156,1971,2022-4-12,4,2
51744,1759,2022-4-3,5,0
84389,1270,2022-4-17,4,1
07466,1190,2022-4-17,4,0
59844,1787,2022-5-2,3,3
93434,1855,2022-5-28,3,3
79450,1037,2022-1-20,1,1
91959,1919,2022-5-20,3,2
99590,1451,2022-6-5,4,4
99829,1158,2022-6-23,4,3
09418,1058,2022-3-25,4,0
33060,1539,2022-1-2,3,3
71388,1059,2022-1-6,2,2
94245,1444,2022-4-5,2,0
28523,1074,2022-5-25,1,0
39255,1588,2022-1-9,5,3
37989,1179,2022-6-13,3,0
70231,1511,2022-5-4,1,0
84518,1083,2022-5-1,1,0
27922,1002,2022-5-20,3,1
14680,1402,2022-1-4,3,1
87915,1737,2022-2-6,3,1
71489,1862,2022-6-3,1,1
96630,1257,2022-5-26,3,2
83182,1314,2022-4-5,2,0
50019,1029,2022-2-22,3,1
05734,1877,2022-1-22,4,0
40022,1333,2022-3-1,1,0
13960,1440,2022-3-2,3,2
68924,1911,2022-1-4,4,1
09007,1962,2022-2-20,3,3
92002,1325,2022-4-21,3,0
07907,1902,2022-2-4,4,0
18877,1750,2022-4-12,1,1
46413,1791,2022-4-2,1,1
72195,1243,2022-5-13,3,2
22574,1875,2022-3-14,2,0
52677,1518,2022-5-22,2,1
72047,1624,2022-5-21,3,1
19330,1412,2022-5-27,3,0
85326,1462,2022-2-9,2,2
33653,1426,2022-6-23,3,0
22103,1713,2022-2-28,2,1
84505,1808,2022-5-12,4,1
93422,1982,2022-4-11,2,1
52169,1556,2022-2-27,4,1
88071,1610,2022-4-23,1,1
62363,1772,2022-5-19,3,3
85026,1682,2022-1-8,5,1
68072,1982,2022-2-16,3,2
95323,1363,2022-2-9,3,2
54120,1085,2022-5-27,5,2
35338,1957,2022-4-24,3,1
43105,1874,2022-1-17,4,0
85153,1198,2022-2-1,5,0
37662,1990,2022-6-17,3,1
52813,1755,2022-1-25,2,0
92301,1901,2022-2-11,5,4
54854,1383,2022-6-1,5,4
40706,1535,2022-3-2,2,0
99825,1490,2022-2-21,5,4
24882,1860,2022-4-12,4,2
42076,1708,2022-5-8,4,4
18800,1185,2022-4-8,1,0
86094,1167,2022-1-3,5,2
08817,1504,2022-4-8,4,1
62998,1753,2022-3-6,4,4
05487,1566,2022-5-27,3,0
92981,1114,2022-4-3,3,1
91899,1436,2022-3-8,4,3
76684,1687,2022-4-8,3,0
68218,1969,2022-4-5,5,5
61170,1652,2022-2-5,3,0
62611,1164,2022-2-16,1,0
11181,1051,2022-5-21,1,0
52279,1274,2022-5-24,4,0
41192,1918,2022-3-28,2,2
38873,1477,2022-5-11,5,4
44810,1799,2022-3-3,4,0
47558,1079,2022-4-22,5,5
34514,1091,2022-1-3,2,0
19467,1783,2022-6-20,2,1
23446,1952,2022-1-23,2,0
78611,1646,2022-5-10,5,5
48341,1556,2022-3-20,5,4
26259,1116,2022-3-16,3,1
97499,1280,2022-5-25,1,0
43291,1504,2022-2-13,2,1
12659,1407,2022-2-16,1,0
48703,1481,2022-1-6,4,4
38537,1942,2022-1-19,2,1
46159,1699,2022-1-8,5,4
29977,1661,2022-2-24,4,2
35326,1906,2022-5-7,3,1
80246,1866,2022-6-2,2,2
11532,1416,2022-2-26,4,4
29897,1519,2022-5-26,2,0
02991,1832,2022-1-5,5,5
85925,1145,2022-5-22,1,0
88576,1355,2022-5-19,1,0
04540,1891,2022-1-8,1,0
62366,1996,2022-4-26,3,1
56409,1537,2022-3-28,4,3
64290,1354,2022-4-21,2,0
43182,1714,2022-5-8,1,0
28565,1219,2022-3-26,5,4
38667,1414,2022-5-17,1,0
48937,1956,2022-6-18,4,1
09822,1894,2022-3-28,1,0
75060,1934,2022-1-17,3,0
79918,1853,2022-4-17,5,0
73625,1175,2022-2-11,2,2
44853,1328,2022-1-25,5,2
69349,1929,2022-2-11,3,1
24406,1606,2022-4-23,1,1
81699,1059,2022-2-5,5,1
71603,1991,2022-6-3,1,0
86473,1061,2022-5-19,5,1
18221,1992,2022-3-4,1,1
30666,1344,2022-3-6,5,0
37680,1807,2022-6-2,4,0
60869,1324,2022-1-15,1,1
45757,1640,2022-2-26,3,2
28633,1965,2022-4-15,2,1
75042,1454,2022-1-26,1,1
65845,1607,2022-5-7,2,0
51696,1548,2022-1-2,5,3
90781,1710,2022-4-2,4,3
06228,1786,2022-1-23,1,0
86773,1692,2022-5-20,2,0
16302,1226,2022-4-3,5,5
67705,1444,2022-4-4,4,3
83259,1554,2022-6-5,1,1
60408,1149,2022-6-26,3,1
70375,1919,2022-1-24,2,1
76652,1032,2022-5-27,1,1
14148,1434,2022-4-26,2,0
64256,1402,2022-1-24,1,0
31536,1482,2022-5-14,1,1
58090,1822,2022-1-6,5,1
06329,1754,2022-1-23,5,2
13746,1449,2022-5-9,4,4
65441,1600,2022-3-6,5,4
39481,1510,2022-5-12,4,2
11551,1150,2022-5-10,4,4
02078,1931,2022-2-12,3,2
25163,1907,2022-6-27,5,0
58043,1704,2022-3-17,2,1
55986,1123,2022-2-24,5,3
62782,1091,2022-5-15,1,0
85497,1005,2022-5-27,1,1
86651,1319,2022-1-24,3,2
12060,1594,2022-5-1,2,1
21934,1902,2022-6-28,3,1
38024,1903,2022-1-21,2,1
53305,1261,2022-6-2,5,4
56055,1944,2022-4-19,4,4
57791,1808,2022-5-27,5,5
47509,1754,2022-1-6,4,2
34888,1328,2022-6-18,2,0
06485,1247,2022-3-16,3,3
23253,1137,2022-5-12,3,3
98528,1137,2022-2-17,2,2
54544,1199,2022-5-21,3,1
89582,1793,2022-2-15,1,0
80226,1208,2022-1-9,3,0
97573,1793,2022-1-3,1,1
82334,1936,2022-4-14,1,1
14064,1372,2022-4-26,5,5
93568,1781,2022-2-16,2,2
88112,1793,2022-3-17,1,1
56580,1279,2022-3-11,2,1
10235,1796,2022-2-21,2,0
41964,1545,2022-4-12,3,3
26188,1368,2022-2-2,1,1
85732,1327,2022-4-11,3,2
16984,1624,2022-5-27,2,1
49390,1928,2022-3-21,5,0
65426,1246,2022-3-10,2,2
01509,1469,2022-3-26,3,1
81976,1749,2022-1-11,5,5
30125,1607,2022-2-16,2,2
64445,1564,2022-6-26,1,1
89962,1881,2022-6-6,3,3
92171,1521,2022-2-23,1,1
70178,1362,2022-2-27,4,3
01018,1790,2022-2-1,2,2
89067,1846,2022-5-1,4,1
68740,1596,2022-5-6,5,2
69598,1345,2022-5-11,1,1
47627,1106,2022-3-5,4,3
77134,1805,2022-2-23,3,1
35134,1242,2022-1-15,1,0
53799,1173,2022-1-3,2,0
07613,1188,2022-4-19,3,0
72603,1293,2022-2-12,5,2
14267,1747,2022-3-17,1,0
35278,1889,2022-5-26,1,0
54802,1456,2022-4-21,3,3
74009,1203,2022-5-8,5,0
68111,1722,2022-6-18,3,3
49836,1750,2022-4-5,5,2
59172,1196,2022-2-10,4,0
09098,1659,2022-1-18,5,0
04399,1938,2022-3-27,2,2
12990,1813,2022-2-24,2,0
34107,1264,2022-5-4,2,1
77156,1817,2022-4-9,2,1
18661,1967,2022-4-15,1,1
77556,1989,2022-3-7,3,1
05415,1878,2022-1-20,1,1
40440,1261,2022-4-9,1,1
31220,1558,2022-6-11,4,3
70154,1100,2022-1-24,4,1
02412,1033,2022-5-17,1,0
25731,1156,2022-4-10,3,2
46864,1537,2022-5-27,4,1
84886,1347,2022-5-27,5,5
87339,1681,2022-3-7,2,2
78769,1579,2022-6-8,3,3
64747,1694,2022-6-17,5,1
05447,1839,2022-1-24,2,1
57559,1561,2022-4-18,1,0
67783,1063,2022-6-20,2,1
29307,1114,2022-6-10,4,1
11283,1761,2022-1-8,4,2
42956,1084,2022-2-10,3,2
37442,1885,2022-3-21,2,2
49355,1971,2022-3-10,1,1
90837,1719,2022-5-13,1,0
32035,1580,2022-4-27,5,2
29474,1704,2022-2-15,4,4
20454,1417,2022-6-17,1,0
60029,1586,2022-6-12,2,1
27353,1016,2022-5-22,1,0
38546,1719,2022-4-26,4,2
37839,1170,2022-5-9,4,0
86002,1786,2022-6-19,4,2
56257,1400,2022-6-18,1,1
